# 優先候選的實際純文字字數（prop=extracts&explaintext），由本檔覆寫 BACKLOG 的估算值。
語言	條目	純文字字數
de	Hexenverfolgung	88134
en	Witch hunt	53375
sv	Häxprocess	112801
de	Hexenverfolgung im Waadtland	20656
de	Hexenprozesse in Freiburg (Schweiz)	33460
de	Hexenprozesse in der Grafschaft Werdenfels	21865
de	Die Besessenen von Aix-en-Provence	23279
en	Cotton Mather	55570
de	Hostienfrevel	22356
de	Diana	16980
de	Ritualmordlegende	102038
en	Morgan le Fay	60343
en	Hecate	43834
en	Gilles de Rais	82487
ru	Аэндорская волшебница	27750
en	Zduhać	50594
fr	Dahut	49743
fr	Lieu du sabbat	9133
fr	Carrefour dans le folklore et la mythologie	51042
fr	Crapaud dans l'imaginaire et la tradition en Occident	77248
it	Goezia (pratica magica)	43350
de	Guillaume Adeline	15935
de	Johannes Pistorius der Jüngere	13124
de	Matthäus Alber	19672
de	Simon Gogräve	12596
de	Dietrich Schnepf	11741
de	Bader-Ann	51904
de	Paula von Weitershausen	29542
de	Sebastian Röttinger	20309
en	Elizabeth Howe	15397
en	Elizabeth Frauncis	8879
ja	巫女	6477
ja	斎宮	5788
ja	陰陽道	7281
ja	イタコ	1894
ja	ユタ	8282
ja	ノロ	3694
ja	飯縄権現	2657
ja	神隠し	4073
zh	扶乩	1809
zh	麻姑	2364
ko	무녀	5877
ko	굿	3482
ko	점복	2590
ko	마고할미	678
